X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.0867131434	0.0114672974	5.00381019e-08		2410.08496	
0.015	0.0856860273	0.0231174272	2.65717292e-07		2411.11236	
0.015	0.0844325485	0.0373350903	4.94515285e-07		2411.85984	
0.015	0.083151839	0.0518616199	7.23313271e-07		2413.41351	
0.015	0.0760557333	0.0710996498	2.81850858e-08		2416.96253	
0.015	0.0820407011	0.0663332501	9.2392617e-07		2413.49734	
0.015	0.0750845196	0.082115703	2.27965633e-07		2420.46899	
0.015	0.0818847766	0.0808857383	9.52943609e-07		2411.97505	
0.015	0.0738423155	0.0962054824	4.56763618e-07		2415.66554	
0.015	0.0818847766	0.0955916207	9.52943609e-07		2410.77261	
0.015	0.0725638555	0.110706496	6.85561603e-07		2415.16936	
0.015	0.0818847766	0.110297503	9.52943609e-07		2411.99866	
0.015	0.0926132243	0.00743639293	9.14808903e-07		2404.20443	
0.015	0.10524038	0.00735463425	1.31347205e-06		2405.76065	
0.015	0.0925419379	0.0220622093	9.27731857e-07		2405.20095	
0.015	0.10524038	0.0220622093	1.31316961e-06		2406.03205	
0.015	0.12321363	0.00735463425	1.85900831e-06		2411.67105	
0.015	0.148651874	0.00735463425	2.63112715e-06		2420.19054	
0.015	0.12321363	0.0220622093	1.85858026e-06		2410.98103	
0.015	0.148651874	0.0220622093	2.63052131e-06		2416.95186	
0.015	0.0925419379	0.0367680913	9.27731906e-07		2407.94169	
0.015	0.10524038	0.0367680913	1.31316968e-06		2408.3205	
0.015	0.0925419379	0.0514739736	9.27731906e-07		2410.73073	
0.015	0.10524038	0.0514739736	1.31316968e-06		2409.27278	
0.015	0.12321363	0.0367680913	1.85858036e-06		2410.83932	
0.015	0.148651874	0.0367680913	2.63052145e-06		2414.47964	
0.015	0.12321363	0.0514739736	1.85858036e-06		2410.79943	
0.015	0.148651874	0.0514739736	2.63052145e-06		2411.47016	
0.015	0.184649881	0.00735463425	3.72292513e-06		2358.66057	
0.015	0.184649881	0.0220622093	3.7220679e-06		2320.17772	
0.015	0.184649881	0.0367680913	3.7220681e-06		2290.87172	
0.015	0.184649881	0.0514739736	3.7220681e-06		2253.28409	
0.015	0.0925419379	0.066179856	9.27731906e-07		2411.57393	
0.015	0.10524038	0.066179856	1.31316968e-06		2409.42515	
0.015	0.0925419379	0.0808857383	9.27731906e-07		2411.06242	
0.015	0.10524038	0.0808857383	1.31316968e-06		2409.81359	
0.015	0.12321363	0.066179856	1.85858036e-06		2411.60137	
0.015	0.148651874	0.066179856	2.63052145e-06		2406.40645	
0.015	0.12321363	0.0808857383	1.85858036e-06		2411.36265	
0.015	0.148651874	0.0808857383	2.63052145e-06		2400.79244	
0.015	0.0925419379	0.0955916207	9.27731906e-07		2410.80847	
0.015	0.10524038	0.0955916207	1.31316968e-06		2410.75473	
0.015	0.0925419379	0.110297503	9.27731906e-07		2412.08326	
0.015	0.10524038	0.110297503	1.31316968e-06		2413.00591	
0.015	0.12321363	0.0955916207	1.85858036e-06		2411.26358	
0.015	0.148651874	0.0955916207	2.63052145e-06		2393.61925	
0.015	0.12321363	0.110297503	1.85858036e-06		2411.66496	
0.015	0.148651874	0.110297503	2.63052145e-06		2380.14698	
0.015	0.184649881	0.066179856	3.7220681e-06		2201.00483	
0.015	0.184649881	0.0808857383	3.7220681e-06		2137.49773	
0.015	0.184649881	0.0955916207	3.7220681e-06		2068.19098	
0.015	0.184649881	0.110297503	3.7220681e-06		1980.15625	
0.015	0.0653983232	0.130732003	1.25611028e-08		2417.2831	
0.015	0.0644768965	0.141183343	1.90213965e-07		2423.13453	
0.015	0.0713582312	0.125234515	9.01798486e-07		2416.7273	
0.015	0.0818847766	0.125003385	9.52943609e-07		2415.69039	
0.015	0.0710847491	0.139709268	9.52943609e-07		2416.77506	
0.015	0.0818847766	0.139709268	9.52943609e-07		2416.54227	
0.015	0.063251338	0.155084319	4.1901195e-07		2422.57046	
0.015	0.0619756528	0.16955386	6.47809936e-07		2418.06479	
0.015	0.0710847491	0.15441515	9.52943609e-07		2415.17688	
0.015	0.0818847766	0.15441515	9.52943609e-07		2415.83992	
0.015	0.0710847491	0.169121032	9.52943609e-07		2414.26646	
0.015	0.0818847766	0.169121032	9.52943609e-07		2415.17469	
0.015	0.054740913	0.190364356	3.16614469e-09		2420.81075	
0.015	0.0607106522	0.184124234	8.73441776e-07		2416.68272	
0.015	0.0538586153	0.200371873	1.52462296e-07		2427.92564	
0.015	0.0602847215	0.198532797	9.5294361e-07		2420.00849	
0.015	0.0710847491	0.183826915	9.52943609e-07		2415.97396	
0.015	0.0818847766	0.183826915	9.52943609e-07		2416.06325	
0.015	0.0710847491	0.198532797	9.52943609e-07		2419.88056	
0.015	0.0818847766	0.198532797	9.52943609e-07		2421.02112	
0.015	0.0526593948	0.213974108	3.81260281e-07		2428.45887	
0.015	0.0602847215	0.213238679	9.5294361e-07		2421.46193	
0.015	0.0513871899	0.228404173	6.10058267e-07		2425.63809	
0.015	0.0602847215	0.227944562	9.5294361e-07		2422.99749	
0.015	0.0710847491	0.213238679	9.52943609e-07		2422.24133	
0.015	0.0818847766	0.213238679	9.52943609e-07		2424.43904	
0.015	0.0710847491	0.227944562	9.52943609e-07		2423.60046	
0.015	0.0818847766	0.227944562	9.52943609e-07		2425.11919	
0.015	0.0925419379	0.125003385	9.27731906e-07		2414.15313	
0.015	0.10524038	0.125003385	1.31316968e-06		2416.06117	
0.015	0.0925419379	0.139709268	9.27731906e-07		2416.16617	
0.015	0.10524038	0.139709268	1.31316968e-06		2417.79321	
0.015	0.12321363	0.125003385	1.85858036e-06		2411.95309	
0.015	0.148651874	0.125003385	2.63052145e-06		2362.73707	
0.015	0.12321363	0.139709268	1.85858036e-06		2410.15211	
0.015	0.148651874	0.139709268	2.63052145e-06		2335.58263	
0.015	0.0925419379	0.15441515	9.27731906e-07		2417.87483	
0.015	0.10524038	0.15441515	1.31316968e-06		2418.80999	
0.015	0.0925419379	0.169121032	9.27731906e-07		2418.23761	
0.015	0.10524038	0.169121032	1.31316968e-06		2419.63775	
0.015	0.12321363	0.15441515	1.85858036e-06		2408.04612	
0.015	0.148651874	0.15441515	2.63052145e-06		2292.89572	
0.015	0.12321363	0.169121032	1.85858036e-06		2404.07206	
0.015	0.148651874	0.169121032	2.63052145e-06		2232.90754	
0.015	0.184649881	0.125003385	3.7220681e-06		1881.01068	
0.015	0.184649881	0.139709268	3.7220681e-06		1772.27485	
