X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.0916095902	0.239588129	2.05148601e-06		2749.84457	
0.015	0.108021478	0.218754796	2.051486e-06		2771.62308	
0.015	0.124433366	0.218754796	2.051486e-06		2775.33502	
0.015	0.108021478	0.239588129	2.051486e-06		2758.83019	
0.015	0.124433366	0.239588129	2.051486e-06		2765.30616	
0.015	0.065088175	0.264192232	3.6517005e-07		2704.90288	
0.015	0.0625516851	0.283124851	1.09401177e-06		2672.56412	
0.015	0.0501201927	0.313414773	1.57022661e-09		2346.02194	
0.015	0.0597707433	0.303935967	1.82128327e-06		2679.16299	
0.015	0.0482112322	0.327663449	4.12263242e-07		2618.24994	
0.015	0.0586184369	0.324526611	2.13943197e-06		2593.74603	
0.015	0.0751977476	0.260650807	2.0966421e-06		2706.98901	
0.015	0.0916095902	0.260650807	2.09665374e-06		2725.52471	
0.015	0.0751977476	0.281942777	2.0966317e-06		2687.91896	
0.015	0.0916095902	0.281942777	2.09664333e-06		2705.64799	
0.015	0.108021478	0.260650807	2.09665373e-06		2736.49813	
0.015	0.124433366	0.260650807	2.09665373e-06		2747.2961	
0.015	0.108021478	0.281942777	2.09664333e-06		2717.74068	
0.015	0.124433366	0.281942777	2.09664333e-06		2729.54853	
0.015	0.0751977476	0.303234694	2.0966317e-06		2688.10968	
0.015	0.0916095902	0.303234694	2.09664334e-06		2687.63526	
0.015	0.0751977476	0.324526611	2.0966317e-06		2605.28	
0.015	0.0916095902	0.324526611	2.09664334e-06		2616.31944	
0.015	0.108021478	0.303234694	2.09664333e-06		2699.43045	
0.015	0.124433366	0.303234694	2.09664333e-06		2713.25764	
0.015	0.108021478	0.324526611	2.09664333e-06		2636.04909	
0.015	0.124433366	0.324526611	2.09664333e-06		2663.4689	
0.015	0.140175287	0.177088129	1.88399418e-06		2798.34014	
0.015	0.157750371	0.177088129	2.50977671e-06		2798.70351	
0.015	0.140175287	0.197921463	1.88399418e-06		2786.31966	
0.015	0.157750371	0.197921463	2.50977671e-06		2788.49724	
0.015	0.181161918	0.177088129	3.34311013e-06		2800.10592	
0.015	0.212346916	0.177088129	4.4531394e-06		2796.20282	
0.015	0.181161918	0.197921463	3.34311013e-06		2791.3901	
0.015	0.212346916	0.197921463	4.4531394e-06		2791.87636	
0.015	0.140175287	0.218754796	1.88399418e-06		2779.40605	
0.015	0.157750371	0.218754796	2.50977671e-06		2781.81192	
0.015	0.140175287	0.239588129	1.88399418e-06		2772.71646	
0.015	0.157750371	0.239588129	2.50977671e-06		2773.51644	
0.015	0.181161918	0.218754796	3.34311013e-06		2783.87898	
0.015	0.212346916	0.218754796	4.4531394e-06		2782.98447	
0.015	0.181161918	0.239588129	3.34311013e-06		2773.07036	
0.015	0.212346916	0.239588129	4.4531394e-06		2768.81728	
0.015	0.253886422	0.177088129	5.93173715e-06		2782.62685	
0.015	0.309209906	0.177088129	7.89913376e-06		2746.20362	
0.015	0.253886422	0.197921463	5.93173715e-06		2782.04509	
