X [m]	Y [m]	Z [m]	Volume [m^3]	Pressure [Pa]
0.015	0.00136477535	1.08420217e-19	3.55126176e-24		96.8130562	
0.015	0.00409395506	1.08420217e-19	3.55029642e-24		96.8130562	
0.015	0.0068227639	1.08420217e-19	3.55029669e-24		96.8130562	
0.015	0.00955157283	1.08420217e-19	3.55029669e-24		96.8130562	
0.015	0.0122530863	1.08420217e-19	3.47927145e-24		96.812086	
0.015	0.0149273116	1.08420217e-19	3.47929076e-24		96.812086	
0.015	0.0176015443	1.08420217e-19	3.47929075e-24		96.812086	
0.015	0.0202757771	1.08420217e-19	3.47929075e-24		96.812086	
0.015	0.0215661135	0.0071262282	1.35328669e-09		1364.31063	
0.015	0.0214921837	0.0105127739	5.65103948e-09		1366.0237	
0.015	0.0214052559	0.0144947182	1.00511614e-08		1382.36981	
0.015	0.0213167806	0.0185475554	1.44512833e-08		1385.30436	
0.015	0.0212278413	0.0226216439	1.88514052e-08		1384.01633	
0.015	0.0211387015	0.0267049189	2.32515271e-08		1388.12089	
0.015	0.0210494569	0.030792995	2.7651649e-08		1394.01215	
0.015	0.0228976454	0.00207606887	5.69265653e-08		1329.3041	
0.015	0.0255299258	0.00204965217	7.25312875e-08		1347.33762	
0.015	0.022836241	0.00615147995	5.99607989e-08		1393.56658	
0.015	0.0255299258	0.00614848456	7.25145865e-08		1382.27084	
0.015	0.0287843877	0.00204965217	8.756107e-08		1362.08832	
0.015	0.0327132324	0.00204965217	1.05705295e-07		1372.50266	
0.015	0.0287843877	0.00614848456	8.75409084e-08		1378.64134	
0.015	0.0327132324	0.00614848456	1.05680955e-07		1379.60147	
0.015	0.022834178	0.0102468451	6.00631711e-08		1372.92271	
0.015	0.0255299258	0.0102468451	7.25145904e-08		1372.04389	
0.015	0.022834178	0.0143452058	6.00631711e-08		1383.12716	
0.015	0.0255299258	0.0143452058	7.25145904e-08		1383.22334	
0.015	0.0287843877	0.0102468451	8.7540913e-08		1375.4857	
0.015	0.0327132324	0.0102468451	1.05680961e-07		1380.0218	
0.015	0.0287843877	0.0143452058	8.7540913e-08		1383.59763	
0.015	0.0327132324	0.0143452058	1.05680961e-07		1383.55376	
0.015	0.0374562043	0.00204965217	1.27609328e-07		1379.38747	
0.015	0.0431820051	0.00204965217	1.5405227e-07		1383.72533	
0.015	0.0374562043	0.00614848456	1.27579945e-07		1382.0601	
0.015	0.0431820051	0.00614848456	1.54016798e-07		1384.22521	
0.015	0.0500942945	0.00204965217	1.85974664e-07		1387.05421	
0.015	0.0584389342	0.00204965217	2.24511951e-07		1390.642	
0.015	0.0500942945	0.00614848456	1.85931842e-07		1386.71232	
0.015	0.0584389342	0.00614848456	2.24460255e-07		1389.98779	
0.015	0.0374562043	0.0102468451	1.27579952e-07		1382.64881	
0.015	0.0431820051	0.0102468451	1.54016806e-07		1384.11133	
0.015	0.0374562043	0.0143452058	1.27579952e-07		1383.12723	
0.015	0.0431820051	0.0143452058	1.54016806e-07		1384.06359	
0.015	0.0500942945	0.0102468451	1.85931852e-07		1386.68816	
0.015	0.0584389342	0.0102468451	2.24460267e-07		1389.9088	
0.015	0.0500942945	0.0143452058	1.85931852e-07		1386.82866	
0.015	0.0584389342	0.0143452058	2.24460267e-07		1390.02762	
0.015	0.022834178	0.0184435664	6.00631711e-08		1386.86064	
0.015	0.0255299258	0.0184435664	7.25145904e-08		1385.6156	
0.015	0.022834178	0.0225419271	6.00631711e-08		1385.08121	
0.015	0.0255299258	0.0225419271	7.25145904e-08		1383.58727	
0.015	0.0287843877	0.0184435664	8.7540913e-08		1383.40687	
0.015	0.0327132324	0.0184435664	1.05680961e-07		1381.681	
0.015	0.0287843877	0.0225419271	8.7540913e-08		1381.50585	
0.015	0.0327132324	0.0225419271	1.05680961e-07		1380.80751	
0.015	0.022834178	0.0266402877	6.00631711e-08		1385.89097	
0.015	0.0255299258	0.0266402877	7.25145904e-08		1383.69803	
0.015	0.022834178	0.0307386484	6.00631711e-08		1391.39609	
0.015	0.0255299258	0.0307386484	7.25145904e-08		1391.00737	
0.015	0.0287843877	0.0266402877	8.7540913e-08		1382.77103	
0.015	0.0327132324	0.0266402877	1.05680961e-07		1383.25403	
0.015	0.0287843877	0.0307386484	8.7540913e-08		1389.88609	
0.015	0.0327132324	0.0307386484	1.05680961e-07		1388.48362	
0.015	0.0374562043	0.0184435664	1.27579952e-07		1381.93714	
0.015	0.0431820051	0.0184435664	1.54016806e-07		1384.01256	
0.015	0.0374562043	0.0225419271	1.27579952e-07		1381.92075	
0.015	0.0431820051	0.0225419271	1.54016806e-07		1385.44069	
0.015	0.0500942945	0.0184435664	1.85931852e-07		1387.81552	
0.015	0.0584389342	0.0184435664	2.24460267e-07		1390.26603	
0.015	0.0500942945	0.0225419271	1.85931852e-07		1388.69216	
0.015	0.0584389342	0.0225419271	2.24460267e-07		1390.2717	
0.015	0.0374562043	0.0266402877	1.27579952e-07		1385.03375	
0.015	0.0431820051	0.0266402877	1.54016806e-07		1387.2832	
0.015	0.0374562043	0.0307386484	1.27579952e-07		1387.68285	
0.015	0.0431820051	0.0307386484	1.54016806e-07		1388.12583	
0.015	0.0500942945	0.0266402877	1.85931852e-07		1388.92031	
0.015	0.0584389342	0.0266402877	2.24460267e-07		1389.75006	
0.015	0.0500942945	0.0307386484	1.85931852e-07		1388.77781	
0.015	0.0584389342	0.0307386484	2.24460267e-07		1388.1111	
0.015	0.0209601506	0.0348838949	3.20517709e-08		1402.28365	
0.015	0.020870805	0.0389765959	3.64518928e-08		1406.33152	
