X [m],Y [m],Z [m],Volume [m^3],Pressure [Pa]
0.015,0.140583149,0.177088129,1.98595981e-06,2605.11259
0.015,0.159765575,0.177088129,2.80964664e-06,2589.49928
0.015,0.140583149,0.197921463,1.98595981e-06,2573.07443
0.015,0.159765575,0.197921463,2.80964664e-06,2572.86935
0.015,0.186902599,0.177088129,3.97460935e-06,2575.80512
0.015,0.225291437,0.177088129,5.62260019e-06,2552.59776
0.015,0.186902599,0.197921463,3.97460935e-06,2567.39105
0.015,0.225291437,0.197921463,5.62260019e-06,2522.71802
0.015,0.140583149,0.218754796,1.98595981e-06,2567.05156
0.015,0.159765575,0.218754796,2.80964664e-06,2571.4334
0.015,0.140583149,0.239588129,1.98595981e-06,2569.75696
0.015,0.159765575,0.239588129,2.80964664e-06,2573.24311
0.015,0.186902599,0.218754796,3.97460935e-06,2567.84167
0.015,0.225291437,0.218754796,5.62260019e-06,2486.6928
0.015,0.186902599,0.239588129,3.97460935e-06,2564.42641
0.015,0.225291437,0.239588129,5.62260019e-06,2396.61148
0.015,0.27958878,0.177088129,7.95173538e-06,2276.41414
0.015,0.27958878,0.197921463,7.95173538e-06,2088.87863
0.015,0.27958878,0.218754796,7.95173538e-06,1833.27121
0.015,0.27958878,0.239588129,7.95173538e-06,1584.78987
0.015,0.140583149,0.260650807,2.02968484e-06,2565.85606
0.015,0.159765575,0.260650807,2.87150685e-06,2568.64329
0.015,0.140583149,0.281942777,2.02967477e-06,2559.81901
0.015,0.159765575,0.281942777,2.87149261e-06,2553.49548
0.015,0.186902599,0.260650807,4.06211863e-06,2533.2491
0.015,0.225291437,0.260650807,5.74639342e-06,2174.81654
0.015,0.186902599,0.281942777,4.06209848e-06,2436.11918
0.015,0.225291437,0.281942777,5.74636492e-06,1785.82985
0.015,0.140583149,0.303234694,2.02967478e-06,2546.96568
0.015,0.159765575,0.303234694,2.87149261e-06,2499.60559
0.015,0.140583149,0.324526611,2.02967478e-06,2498.9194
0.015,0.159765575,0.324526611,2.87149261e-06,2316.88223
0.015,0.186902599,0.303234694,4.06209849e-06,2163.67107
0.015,0.225291437,0.303234694,5.74636492e-06,1455.43415
0.015,0.186902599,0.324526611,4.06209849e-06,1691.06587
0.015,0.225291437,0.324526611,5.74636492e-06,1268.98615
0.015,0.27958878,0.260650807,8.12680936e-06,1375.97444
0.015,0.27958878,0.281942777,8.12676905e-06,1252.592
0.015,0.27958878,0.303234694,8.12676906e-06,1201.75708
0.015,0.27958878,0.324526611,8.12676906e-06,1180.97315
0.015,0.0332504911,0.37683194,6.18293623e-09,2562.28235
0.015,0.0456270807,0.346951818,1.14110497e-06,2586.06761
0.015,0.0586184369,0.345818527,2.13943197e-06,2583.90032
0.015,0.0428654755,0.36777206,1.86376375e-06,2587.0998
0.015,0.0586184369,0.367110444,2.13943197e-06,2582.77472
0.015,0.0313231767,0.391217611,4.59356439e-07,2594.72874
0.015,0.0287019583,0.410782651,1.18819816e-06,2601.85542
0.015,0.0418716123,0.388402361,2.13943197e-06,2592.47689
0.015,0.0586184369,0.388402361,2.13943197e-06,2574.63812
0.015,0.0418716123,0.409694278,2.13943197e-06,2579.82457
0.015,0.0586184369,0.409694278,2.13943197e-06,2503.62428
0.015,0.0751977476,0.345818527,2.0966317e-06,2581.70814
0.015,0.0916095902,0.345818527,2.09664334e-06,2572.87821
0.015,0.0751977476,0.367110444,2.0966317e-06,2570.46064
0.015,0.0916095902,0.367110444,2.09664334e-06,2542.41615
0.015,0.108021478,0.345818527,2.09664333e-06,2550.09878
0.015,0.124433366,0.345818527,2.09664333e-06,2483.89174
0.015,0.108021478,0.367110444,2.09664333e-06,2454.17345
0.015,0.124433366,0.367110444,2.09664333e-06,2218.44461
0.015,0.0751977476,0.388402361,2.0966317e-06,2523.85339
0.015,0.0916095902,0.388402361,2.09664334e-06,2411.0305
0.015,0.0751977476,0.409694278,2.0966317e-06,2342.04851
0.015,0.0916095902,0.409694278,2.09664334e-06,1967.19756
0.015,0.108021478,0.388402361,2.09664333e-06,2105.43596
0.015,0.124433366,0.388402361,2.09664333e-06,1666.35116
0.015,0.108021478,0.409694278,2.09664333e-06,1528.42024
0.015,0.124433366,0.409694278,2.09664333e-06,1295.19166
0.015,0.0163807903,0.440249106,1.38385447e-08,2572.11849
0.015,0.0259740707,0.431598331,1.90320134e-06,2568.19708
0.015,0.0144271093,0.454831579,5.06449794e-07,2630.56183
0.015,0.0251247884,0.452278112,2.13943182e-06,2492.36579
0.015,0.0418716123,0.430986195,2.13943197e-06,2487.35256
0.015,0.0586184369,0.430986195,2.13943197e-06,2251.14715
0.015,0.0418716123,0.452278112,2.13943197e-06,2157.72328
0.015,0.0586184369,0.452278112,2.13943197e-06,1654.7539
0.015,0.0117763777,0.47461691,1.23529152e-06,2645.15076
0.015,0.0251247884,0.473570029,2.13943182e-06,2004.46867
0.015,0.00909487535,0.495417874,1.93974691e-06,1651.1088
0.015,0.0251247884,0.494861945,2.13943182e-06,1344.85353
0.015,0.0418716123,0.473570029,2.13943197e-06,1477.71651
0.015,0.0586184369,0.473570029,2.13943197e-06,1263.65421
0.015,0.0418716123,0.494861945,2.13943197e-06,1214.19456
0.015,0.0586184369,0.494861945,2.13943197e-06,1181.95932
0.015,0.0751977476,0.430986195,2.0966317e-06,1816.38959
0.015,0.0916095902,0.430986195,2.09664334e-06,1414.45517
0.015,0.0751977476,0.452278112,2.0966317e-06,1335.57107
0.015,0.0916095902,0.452278112,2.09664334e-06,1220.73378
0.015,0.108021478,0.430986195,2.09664333e-06,1250.59991
0.015,0.124433366,0.430986195,2.09664333e-06,1195.56275
0.015,0.108021478,0.452278112,2.09664333e-06,1185.74565
0.015,0.124433366,0.452278112,2.09664333e-06,1175.80114
0.015,0.0751977476,0.473570029,2.0966317e-06,1197.03146
0.015,0.0916095902,0.473570029,2.09664334e-06,1178.64189
0.015,0.0751977476,0.494861945,2.0966317e-06,1174.34793
0.015,0.0916095902,0.494861945,2.09664334e-06,1172.55662
0.015,0.108021478,0.473570029,2.09664333e-06,1173.73175
0.015,0.124433366,0.473570029,2.09664333e-06,1172.4486
0.015,0.108021478,0.494861945,2.09664333e-06,1172.13203
0.015,0.124433366,0.494861945,2.09664333e-06,1172.03157
0.015,0.140583149,0.345818527,2.02967478e-06,2313.08538
0.015,0.159765575,0.345818527,2.87149261e-06,1835.70295
0.015,0.140583149,0.367110444,2.02967478e-06,1809.22933
0.015,0.159765575,0.367110444,2.87149261e-06,1385.97757
0.015,0.186902599,0.345818527,4.06209849e-06,1344.35011
0.015,0.225291437,0.345818527,5.74636492e-06,1198.86927
0.015,0.186902599,0.367110444,4.06209849e-06,1216.65285
0.015,0.225291437,0.367110444,5.74636492e-06,1178.31682
0.015,0.140583149,0.388402361,2.02967478e-06,1353.46733
0.015,0.159765575,0.388402361,2.87149261e-06,1221.61767
0.015,0.140583149,0.409694278,2.02967478e-06,1209.95497
0.015,0.159765575,0.409694278,2.87149261e-06,1181.54628
0.015,0.186902599,0.388402361,4.06209849e-06,1181.38482
0.015,0.225291437,0.388402361,5.74636492e-06,1173.26882
0.015,0.186902599,0.409694278,4.06209849e-06,1173.72926
0.015,0.225291437,0.409694278,5.74636492e-06,1172.2262
0.015,0.27958878,0.345818527,8.12676906e-06,1174.3184
0.015,0.27958878,0.367110444,8.12676906e-06,1172.51835
0.015,0.27958878,0.388402361,8.12676906e-06,1172.10079
0.015,0.27958878,0.409694278,8.12676906e-06,1172.01759
0.015,0.140583149,0.430986195,2.02967478e-06,1178.76825
0.015,0.159765575,0.430986195,2.87149261e-06,1173.62501
0.015,0.140583149,0.452278112,2.02967478e-06,1173.02803
0.015,0.159765575,0.452278112,2.87149261e-06,1172.23414
0.015,0.186902599,0.430986195,4.06209849e-06,1172.28285
0.015,0.225291437,0.430986195,5.74636492e-06,1172.03577
0.015,0.186902599,0.452278112,4.06209849e-06,1172.03888
0.015,0.225291437,0.452278112,5.74636492e-06,1172.00488
0.015,0.140583149,0.473570029,2.02967478e-06,1172.11449
0.015,0.159765575,0.473570029,2.87149261e-06,1172.02481
0.015,0.140583149,0.494861945,2.02967478e-06,1172.00765
0.015,0.159765575,0.494861945,2.87149261e-06,1172.00175
0.015,0.186902599,0.473570029,4.06209849e-06,1172.0041
0.015,0.225291437,0.473570029,5.74636492e-06,1172.0007
0.015,0.186902599,0.494861945,4.06209849e-06,1172.00049
0.015,0.225291437,0.494861945,5.74636492e-06,1172.00029
0.015,0.27958878,0.430986195,8.12676906e-06,1172.00287
0.015,0.27958878,0.452278112,8.12676906e-06,1172.00057
0.015,0.27958878,0.473570029,8.12676906e-06,1172.00027
0.015,0.27958878,0.494861945,8.12676906e-06,1172.00024
0.015,0.00837568839,0.516153862,2.14001353e-06,1172.02204
0.015,0.0251247884,0.516153862,2.13943182e-06,1172.01657
0.015,0.00837568839,0.537276946,2.10607528e-06,1172.0002
0.015,0.0251247884,0.537276946,2.10550279e-06,1172.00021
0.015,0.0418716123,0.516153862,2.13943197e-06,1172.00725
0.015,0.0586184369,0.516153862,2.13943197e-06,1172.00258
0.015,0.0418716123,0.537276946,2.10550295e-06,1172.00022
0.015,0.0586184369,0.537276946,2.10550295e-06,1172.00023
0.015,0.00837568839,0.561436535,2.75040126e-06,1172.00018
0.015,0.0251247884,0.561436535,2.74965363e-06,1172.0002
0.015,0.00837568839,0.592986402,3.59164322e-06,1172.00017
0.015,0.0251247884,0.592986402,3.59066691e-06,1172.00019
0.015,0.0418716123,0.561436535,2.74965383e-06,1172.00021
0.015,0.0586184369,0.561436535,2.74965383e-06,1172.00023
0.015,0.0418716123,0.592986402,3.59066717e-06,1172.0002
0.015,0.0586184369,0.592986402,3.59066717e-06,1172.00021
0.015,0.0751977476,0.516153862,2.0966317e-06,1172.00096
0.015,0.0916095902,0.516153862,2.09664334e-06,1172.00046
0.015,0.0751977476,0.537276946,2.06338144e-06,1172.00024
0.015,0.0916095902,0.537276946,2.06339289e-06,1172.00025
0.015,0.108021478,0.516153862,2.09664333e-06,1172.00032
0.015,0.124433366,0.516153862,2.09664333e-06,1172.00029
0.015,0.108021478,0.537276946,2.06339289e-06,1172.00026
0.015,0.124433366,0.537276946,2.06339289e-06,1172.00027
0.015,0.0751977476,0.561436535,2.6946458e-06,1172.00024
0.015,0.0916095902,0.561436535,2.69466076e-06,1172.00025
0.015,0.0751977476,0.592986402,3.51883431e-06,1172.00023
0.015,0.0916095902,0.592986402,3.51885383e-06,1172.00024
0.015,0.108021478,0.561436535,2.69466075e-06,1172.00026
0.015,0.124433366,0.561436535,2.69466075e-06,1172.00027
0.015,0.108021478,0.592986402,3.51885383e-06,1172.00025
0.015,0.124433366,0.592986402,3.51885383e-06,1172.00026
0.015,0.00837568839,0.63418616,4.69018877e-06,1172.00015
0.015,0.0251247884,0.63418616,4.68891385e-06,1172.00017
0.015,0.00837568839,0.687987339,6.12473718e-06,1172.00012
0.015,0.0251247884,0.687987339,6.1230723e-06,1172.00014
0.015,0.0418716123,0.63418616,4.68891419e-06,1172.00018
0.015,0.0586184369,0.63418616,4.68891419e-06,1172.0002
0.015,0.0418716123,0.687987339,6.12307275e-06,1172.00016
0.015,0.0586184369,0.687987339,6.12307275e-06,1172.00017
0.015,0.00837568839,0.758244231,7.99805878e-06,1172.00009
0.015,0.0251247884,0.758244231,7.99588468e-06,1172.00011
0.015,0.00837568839,0.849978043,1.04419531e-05,1172.00004
0.015,0.0251247884,0.849978043,1.04391147e-05,1172.00006
0.015,0.0418716123,0.758244231,7.99588527e-06,1172.00012
0.015,0.0586184369,0.758244231,7.99588527e-06,1172.00014
0.015,0.0418716123,0.849978043,1.04391154e-05,1172.00007
0.015,0.0586184369,0.849978043,1.04391154e-05,1172.00007
0.015,0.0751977476,0.63418616,4.59511042e-06,1172.00021
0.015,0.0916095902,0.63418616,4.59513592e-06,1172.00023
0.015,0.0751977476,0.687987339,6.00057801e-06,1172.00019
0.015,0.0916095902,0.687987339,6.00061131e-06,1172.0002
0.015,0.108021478,0.63418616,4.59513591e-06,1172.00024
0.015,0.124433366,0.63418616,4.59513591e-06,1172.00025
0.015,0.108021478,0.687987339,6.0006113e-06,1172.00021
0.015,0.124433366,0.687987339,6.0006113e-06,1172.00022
0.015,0.0751977476,0.758244231,7.83592409e-06,1172.00015
0.015,0.0916095902,0.758244231,7.83596758e-06,1172.00015
0.015,0.0751977476,0.849978043,1.02302764e-05,1172.00008
0.015,0.0916095902,0.849978043,1.02303331e-05,1172.00008
0.015,0.108021478,0.758244231,7.83596756e-06,1172.00016
0.015,0.124433366,0.758244231,7.83596756e-06,1172.00016
0.015,0.108021478,0.849978043,1.02303331e-05,1172.00008
0.015,0.124433366,0.849978043,1.02303331e-05,1172.00008
0.015,0.140583149,0.516153862,2.02967478e-06,1172.00028
0.015,0.159765575,0.516153862,2.87149261e-06,1172.00028
0.015,0.140583149,0.537276946,1.99748638e-06,1172.00027
0.015,0.159765575,0.537276946,2.82595391e-06,1172.00028
0.015,0.186902599,0.516153862,4.06209849e-06,1172.00028
0.015,0.225291437,0.516153862,5.74636492e-06,1172.00026
0.015,0.186902599,0.537276946,3.9976781e-06,1172.00027
0.015,0.225291437,0.537276946,5.65523393e-06,1172.00026
0.015,0.140583149,0.561436535,2.60859101e-06,1172.00027
0.015,0.159765575,0.561436535,3.69051727e-06,1172.00027
0.015,0.140583149,0.592986402,3.40645867e-06,1172.00027
0.015,0.159765575,0.592986402,4.81930455e-06,1172.00027
0.015,0.186902599,0.561436535,5.22071503e-06,1172.00027
0.015,0.225291437,0.561436535,7.38537823e-06,1172.00025
0.015,0.186902599,0.592986402,6.81753095e-06,1172.00026
0.015,0.225291437,0.592986402,9.64428135e-06,1172.00025
0.015,0.27958878,0.516153862,8.12676906e-06,1172.00023
0.015,0.27958878,0.537276946,7.99788749e-06,1172.00023
0.015,0.27958878,0.561436535,1.04447358e-05,1172.00022
0.015,0.27958878,0.592986402,1.36393787e-05,1172.0002
0.015,0.140583149,0.63418616,4.44836339e-06,1172.00025
0.015,0.159765575,0.63418616,6.29334451e-06,1172.00025
0.015,0.140583149,0.687987339,5.80894671e-06,1172.00022
0.015,0.159765575,0.687987339,8.21823661e-06,1172.00022
0.015,0.186902599,0.63418616,8.90275152e-06,1172.00025
0.015,0.225291437,0.63418616,1.25940962e-05,1172.00023
0.015,0.186902599,0.687987339,1.16257609e-05,1172.00022
0.015,0.225291437,0.687987339,1.6446146e-05,1172.0002
0.015,0.140583149,0.758244231,7.58568014e-06,1172.00017
0.015,0.159765575,0.758244231,1.07318792e-05,1172.00017
0.015,0.140583149,0.849978043,9.90356764e-06,1172.00008
0.015,0.159765575,0.849978043,1.40111222e-05,1172.00008
0.015,0.186902599,0.758244231,1.51816341e-05,1172.00016
0.015,0.225291437,0.758244231,2.14763896e-05,1172.00015
0.015,0.186902599,0.849978043,1.98205484e-05,1172.00008
0.015,0.225291437,0.849978043,2.80387353e-05,1172.00007
0.015,0.27958878,0.63418616,1.78111402e-05,1172.00019
0.015,0.27958878,0.687987339,2.32588831e-05,1172.00016
0.015,0.27958878,0.758244231,3.03728811e-05,1172.00012
0.015,0.27958878,0.849978043,3.9653647e-05,1172.00006
0.015,0.00837568839,5.5511151199999996e-17,0.000100508261,32.9816861
0.012,0.00837568839,2.7755575599999998e-17,9.2988821e-19,32.981752
0.018,0.00837568839,2.7755575599999998e-17,9.2988821e-19,32.981752
0.015,0.0,2.7755575599999998e-17,3.33066907e-19,32.981752
0.015,0.00837568839,0.0,0.000100508261,32.981752
0.015,0.0251247884,5.5511151199999996e-17,0.00010048094,32.9816861
0.012,0.0251247884,2.7755575599999998e-17,9.2963544e-19,32.981752
0.018,0.0251247884,2.7755575599999998e-17,9.2963544e-19,32.981752
0.015,0.0251247884,0.0,0.00010048094,32.981752
0.015,0.0418716123,5.5511151199999996e-17,0.000100480947,32.9816861
0.012,0.0418716123,2.7755575599999998e-17,9.29635509e-19,32.981752
0.018,0.0418716123,2.7755575599999998e-17,9.29635509e-19,32.981752
0.015,0.0418716123,0.0,0.000100480947,32.981752
0.015,0.0586184369,5.5511151199999996e-17,0.000100480947,32.9816861
0.012,0.0586184369,2.7755575599999998e-17,9.29635509e-19,32.981752
0.018,0.0586184369,2.7755575599999998e-17,9.29635509e-19,32.981752
0.015,0.0586184369,0.0,0.000100480947,32.981752
0.015,0.0751977476,5.5511151199999996e-17,9.84707819e-05,32.9820553
0.012,0.0751977476,2.7755575599999998e-17,9.11037745e-19,32.9820574
0.018,0.0751977476,2.7755575599999998e-17,9.11037745e-19,32.9820574
0.015,0.0751977476,0.0,9.84707819e-05,32.9820574
0.015,0.0916095902,5.5511151199999996e-17,9.84713284e-05,32.9820553
0.012,0.0916095902,2.7755575599999998e-17,9.110428e-19,32.9820574
0.018,0.0916095902,2.7755575599999998e-17,9.110428e-19,32.9820574
0.015,0.0916095902,0.0,9.84713284e-05,32.9820574
0.015,0.108021478,5.5511151199999996e-17,9.84713282e-05,32.9820553
0.012,0.108021478,2.7755575599999998e-17,9.11042799e-19,32.9820574
0.018,0.108021478,2.7755575599999998e-17,9.11042799e-19,32.9820574
0.015,0.108021478,0.0,9.84713282e-05,32.9820574
0.015,0.124433366,5.5511151199999996e-17,9.84713282e-05,32.9820553
0.012,0.124433366,2.7755575599999998e-17,9.11042799e-19,32.9820574
0.018,0.124433366,2.7755575599999998e-17,9.11042799e-19,32.9820574
0.015,0.124433366,0.0,9.84713282e-05,32.9820574
0.015,0.130515173,0.0129107427,9.84844275e-05,2552.44888
0.012,0.131223219,0.0155532053,3.36777169e-05,2553.94454
0.018,0.131223219,0.0155532053,3.36777169e-05,2553.94454
0.015,0.125599899,0.0312547965,0.000129409516,3490.27717
0.012,0.128935156,0.0326315378,0.000146654399,3489.66297
0.018,0.128935156,0.0326315378,0.000146654399,3489.66297
0.015,0.120017624,0.0520881293,0.000129409523,2877.83185
0.012,0.126225596,0.0528559704,0.000262951796,2875.03711
0.018,0.126225596,0.0528559704,0.000262951796,2875.03711
0.015,0.113935817,0.0747857422,0.000106248992,2935.50673
0.012,0.114699685,0.0776365379,3.91973899e-05,2934.0547
0.018,0.114699685,0.0776365379,3.91973899e-05,2934.0547
0.015,0.116726954,0.0643690755,2.31605305e-05,2935.96468
0.012,0.124476488,0.0729717095,0.000340051799,2930.59085
0.015,0.108853074,0.0937547959,0.000129409523,2897.80409
0.012,0.112364177,0.095069007,0.000153632247,2877.28027
0.018,0.112364177,0.095069007,0.000153632247,2877.28027
0.012,0.124433366,0.0937547959,0.000341914334,2882.06228
0.018,0.124433366,0.0937547959,0.000341914334,2882.06228
0.015,0.1032708,0.114588129,0.000129409523,2844.32556
0.012,0.109648899,0.115336121,0.00026992964,2846.5413
0.018,0.109648899,0.115336121,0.00026992964,2846.5413
0.012,0.124433366,0.114588129,0.000341914334,2816.34223
0.018,0.124433366,0.114588129,0.000341914334,2816.34223
0.015,0.0973564607,0.136660742,0.000114013563,2811.441
0.012,0.0981761519,0.139719871,4.51357383e-05,2820.76797
0.018,0.0981761519,0.139719871,4.51357383e-05,2820.76797
0.015,0.0921062498,0.156254796,0.000129409523,2953.69402
0.012,0.0957924707,0.15751191,0.000160610091,2938.60057
0.018,0.0957924707,0.15751191,0.000160610091,2938.60057
0.015,0.100147598,0.126244075,1.53959592e-05,2821.61387
0.012,0.108040745,0.135444604,0.000341091294,2830.24752
0.012,0.124433366,0.135421463,0.000341914334,2772.72307
0.018,0.124433366,0.135421463,0.000341914334,2772.72307
0.012,0.108021478,0.156254796,0.000341914334,2815.5077
0.018,0.108021478,0.156254796,0.000341914334,2815.5077
0.012,0.124433366,0.156254796,0.000341914334,2708.73313
0.018,0.124433366,0.156254796,0.000341914334,2708.73313
0.015,0.133306953,5.5511151199999996e-17,8.01171576e-06,2536.29968
0.015,0.133306953,0.00249167752,3.09548927e-05,2536.29968
0.012,0.140659274,0.0105079722,0.000327742414,2535.33992
0.015,0.140583149,0.0,9.53260708e-05,2535.33992
0.012,0.159765575,0.0104190652,0.000468382264,2739.78844
0.018,0.159765575,0.0104190652,0.000468382264,2739.78844
0.015,0.159765575,0.0,0.000134863039,2739.78844
0.012,0.140583149,0.0312547965,0.000330993284,3296.83863
0.018,0.140583149,0.0312547965,0.000330993284,3296.83863
0.012,0.159765575,0.0312547965,0.000468274415,3193.86958
0.018,0.159765575,0.0312547965,0.000468274415,3193.86958
0.012,0.186902599,0.0104190652,0.000662587423,2928.48055
0.018,0.186902599,0.0104190652,0.000662587423,2928.48055
0.015,0.186902599,0.0,0.000190781249,2928.48055
0.012,0.225291437,0.0104190652,0.000937315808,3023.86733
0.018,0.225291437,0.0104190652,0.000937315808,3023.86733
0.015,0.225291437,0.0,0.000269884809,3023.86733
0.012,0.186902599,0.0312547965,0.000662434856,3092.99389
0.018,0.186902599,0.0312547965,0.000662434856,3092.99389
0.012,0.225291437,0.0312547965,0.000937099983,3056.09073
0.018,0.225291437,0.0312547965,0.000937099983,3056.09073
0.012,0.140583149,0.0520881293,0.000330993302,2877.54845
0.018,0.140583149,0.0520881293,0.000330993302,2877.54845
0.012,0.159765575,0.0520881293,0.00046827444,2895.83079
0.018,0.159765575,0.0520881293,0.00046827444,2895.83079
